"@type";"name";"typeCommunecter";"url.communecter";"url.api";"url.website";"address.@type";"address.streetAddress";"address.postalCode";"address.addressLocality";"address.codeInsee";"address.addressCountry";"geo.@type";"geo.latitude";"geo.longitude";"tags.0";"tags.1";"tags.2";"slug";"description";"image";"shortDescription";"tags.3";"tags.4";"email";"tags.5";"tags.6";"tags.7";"tags.8";"tags.9";"tags.10";"tags.11";"tags.12";"tags.13";"tags.14"
"Organization";"Famille Mary";"LocalBusiness";"https://www.communecter.org/#@familleMary10";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab53";"https://www.famillemary.fr";"PostalAddress";"37 rue Carnot";"74000";"ANNECY";"74010";"FR";"GeoCoordinates";"45.9024006";"6.12486696770305";"Vrac";"Épicerie";"Miel";"familleMary10";"Épicerie spécialisée (miel confiture, pollen, propolis)";" ";" ";"Cosmétique";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Botanic";"LocalBusiness";"https://www.communecter.org/#@botanic27";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab57";"https://www.botanic.com/";"PostalAddress";"5-7 prè de la Danse";"74940";"ANNECY LE VIEUX";"74011";"FR";"GeoCoordinates";"45.9196453";"6.1449077";"Vrac";"Jardinerie";"Produits biologiques";"botanic27";"Jardinerie avec litière pour chat en vrac";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"L’eau Vive";"LocalBusiness";"https://www.communecter.org/#@leauVive24";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab5b";"www.eau-vive.fr";"PostalAddress";"10 rue de Genève";"74100";"ANNEMASSE";"74012";"FR";"GeoCoordinates";"46.192975";"6.2322827";"Vrac";"Épicerie";"Produits biologiques";"leauVive24";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Bionacelle";"LocalBusiness";"https://www.communecter.org/#@biocoopBionacelle";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab5f";"http://biocoop.fr/";"PostalAddress";"30 boulevard de la République";"07100";"ANNONAY";"07010";"FR";"GeoCoordinates";"45.2441334";"4.6738333";"Vrac";"Épicerie";"Produits biologiques";"biocoopBionacelle";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Satoriz";"LocalBusiness";"https://www.communecter.org/#@satoriz12";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab63";"www.satoriz.fr";"PostalAddress";"Espace Léman 2 4 bis boulevard du Pré Biollat";"74200";"ANTHY SUR LEMAN";"74013";"FR";"GeoCoordinates";"46.350332";"6.440276";"Vrac";"Épicerie";"Produits biologiques";"satoriz12";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio c’ Bon";"LocalBusiness";"https://www.communecter.org/#@bioCBon16";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab67";"http://www.bio-c-bon.eu/fr";"PostalAddress";"42 avenue Robert Soleau";"06600";"ANTIBES";"06004";"FR";"GeoCoordinates";"43.5849809";"7.11963";"Vrac";"Épicerie";"Produits biologiques";"bioCBon16";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"La Vie Claire";"LocalBusiness";"https://www.communecter.org/#@laVieClaire99";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab6b";"http://www.lavieclaire.com";"PostalAddress";"36 avenue Robert Soleau";"06600";"ANTIBES";"06004";"FR";"GeoCoordinates";"43.5849809";"7.11963";"Vrac";"Épicerie";"Produits biologiques";"laVieClaire99";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Naturalia";"LocalBusiness";"https://www.communecter.org/#@naturalia17";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab6f";"http://www.naturalia.fr/";"PostalAddress";"5 boulevard Dugommier";"06600";"ANTIBES";"06004";"FR";"GeoCoordinates";"43.5810065";"7.1195707";"Vrac";"Épicerie";"Produits biologiques";"naturalia17";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Cosmétique Têtard et Nénuphar";"LocalBusiness";"https://www.communecter.org/#@cosmetiqueTetardEtNenuphar";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab73";" ";"PostalAddress";"22 rue de l’église";"92160";"ANTONY";"92002";"FR";"GeoCoordinates";"48.7530214";"2.2962848";"Vrac";"Épicerie";"Produits biologiques";"cosmetiqueTetardEtNenuphar";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio c’ Bon";"LocalBusiness";"https://www.communecter.org/#@bioCBon17";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab77";"http://www.bio-c-bon.eu/fr";"PostalAddress";"64-66 avenue Aristide Briand";"92160";"ANTONY";"92002";"FR";"GeoCoordinates";"48.7630266";"2.3089392";"Vrac";"Épicerie";"Produits biologiques";"bioCBon17";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
